2021/09/04 17:33:28 [error] 29#29: *2 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://172.21.0.2:9000", host: "localhost"
2021/09/04 17:33:28 [error] 29#29: *2 open() "/home/work/favicon.ico" failed (2: No such file or directory), client: 172.21.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2021/09/04 17:33:28 [error] 29#29: *2 open() "/home/work/error/404.html" failed (2: No such file or directory), client: 172.21.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2021/09/04 17:33:36 [error] 29#29: *2 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: , request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.2:9000", host: "localhost"
2021/09/04 17:35:41 [error] 24#24: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.2:9000", host: "localhost"
2021/09/04 17:35:46 [error] 24#24: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.2:9000", host: "localhost"
2021/09/04 17:37:27 [error] 24#24: *5 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.2:9000", host: "localhost"
2021/09/04 17:37:40 [error] 24#24: *10 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.2:9000", host: "localhost"
2021/09/04 17:51:57 [error] 24#24: *13 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.2:9000", host: "localhost"
2021/09/04 17:52:08 [error] 25#25: *17 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.2:9000", host: "localhost"
2021/09/04 17:52:09 [error] 25#25: *17 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.2:9000", host: "localhost"
